scene_id,group,label,experiment_name,target_psnr,time_to_target_sec,total_time_sec,iter_0_psnr,iter_0_ssim,iter_0_lpips,iter_0_gaussians,iter_3000_psnr,iter_3000_ssim,iter_3000_lpips,iter_3000_gaussians,iter_15000_psnr,iter_15000_ssim,iter_15000_lpips,iter_15000_gaussians,delta_final_psnr_vs_baseline,prior_original_total,prior_inserted_total,prior_survived_3000,prior_survived_15000,prior_survival_ratio_3000,prior_survival_ratio_15000
room_0,reference,baseline,03-24-baseline-15k-2026,42.240509033203125,32.513026,162.56512756785378,11.234102204442024,0.5496061556041241,0.5975933838635683,100000,42.240509033203125,0.9851199984550476,0.061291277408599854,209593,46.60623550415039,0.9926782250404358,0.022831374779343605,219137,,0,0,,,,
office_0,reference,baseline,03-24-baseline-15k-2026,34.12498092651367,32.543133,162.7156668258831,13.053640112280846,0.591483193449676,0.5628732414916158,100000,34.12498092651367,0.966254711151123,0.09148026257753372,243111,44.20054244995117,0.9882693290710449,0.029793081805109978,239572,,0,0,,,,
room_0,reference,prior_full,03-24-priorfull-15k-2026,42.240509033203125,39.216936,196.08468018099666,11.507500186562538,0.5505625461228192,0.5796677554026246,251285,43.86698532104492,0.9873349666595459,0.05202929675579071,315423,46.37690353393555,0.9928383231163025,0.023683100938796997,254898,-0.22933197021484375,151285,151285,125898,57473,0.8321908979740226,0.3798988663780282
office_0,reference,prior_full,03-24-priorfull-15k-2026,34.12498092651367,38.800895,194.00447424594313,13.21709530055523,0.5860799644142389,0.5488717118278146,256821,34.85787582397461,0.9623014330863953,0.10579242557287216,336603,42.571044921875,0.9834994673728943,0.041853878647089005,267078,-1.6294975280761719,156821,156821,119073,45366,0.7592924417010477,0.2892852360334394
room_0,reference,prior_100k,03-24-prior100k-15k-2026,42.240509033203125,36.705281,183.52640565065667,11.488019034266472,0.5498429080471396,0.581334076821804,200000,42.46050262451172,0.9864885807037354,0.053795088082551956,269941,46.26710891723633,0.9927735328674316,0.023714229464530945,238961,-0.3391265869140625,151285,100000,82360,44274,0.8236,0.44274
office_0,reference,prior_100k,03-24-prior100k-15k-2026,34.12498092651367,36.52627,182.63134936382994,13.218125134706497,0.5852950355038047,0.5501735638827085,200000,34.999385833740234,0.9686444401741028,0.08597296476364136,292474,43.485225677490234,0.9871730804443359,0.03282628580927849,254211,-0.7153167724609375,156821,100000,75777,34608,0.75777,0.34608
room_0,reference,prior_25k,03-24-prior25k-15k-2026,42.240509033203125,33.541352,167.70676198415458,11.424011796712875,0.5470445724204183,0.5884038116782904,125000,43.384918212890625,0.9872338175773621,0.05180921033024788,216195,46.70027160644531,0.9927909970283508,0.023606380447745323,214576,0.09403610229492188,151285,25000,21261,13818,0.85044,0.55272
office_0,reference,prior_25k,03-24-prior25k-15k-2026,34.12498092651367,33.156709,165.78354653296992,13.198301911354065,0.584565089084208,0.5550831081345677,125000,36.52182388305664,0.9721432328224182,0.0751626193523407,240677,44.08381271362305,0.989335298538208,0.02773512341082096,232093,-0.116729736328125,156821,25000,20574,11444,0.82296,0.45776
room_0,reference,prior_25k_full_none,03-24-prior25k-fullnone-15k-2026,42.240509033203125,33.606571,168.03285634797066,11.42517602443695,0.5469714947976172,0.5884984889999032,125000,43.57120132446289,0.9873164296150208,0.05061362311244011,215104,46.424259185791016,0.9927679896354675,0.023849686607718468,214864,-0.181976318359375,151285,25000,21061,14618,0.84244,0.58472
office_0,reference,prior_25k_full_none,03-24-prior25k-fullnone-15k-2026,34.12498092651367,21.910682,164.33011822542176,13.194500848650932,0.5845931195653975,0.5548211708664894,125000,37.77178955078125,0.9753775000572205,0.07191020995378494,233034,44.9459114074707,0.9891491532325745,0.026985429227352142,226584,0.7453689575195312,156821,25000,20499,12192,0.81996,0.48768
room_0,phase5_2,prior_50k,03-24-prior50k-15k-2026,42.240509033203125,34.384951,171.9247549250722,11.465887978672981,0.5480664065107703,0.5851577026769519,150000,43.30650329589844,0.9867047667503357,0.05264702066779137,222789,46.74598693847656,0.992767333984375,0.02291335165500641,210834,0.13975143432617188,151285,50000,41727,24328,0.83454,0.48656
office_0,phase5_2,prior_50k,03-24-prior50k-15k-2026,34.12498092651367,57.548682,172.64604661613703,13.216347008943558,0.58380261156708,0.5524157527834177,150000,34.01374435424805,0.9641394019126892,0.09730980545282364,259862,43.96827697753906,0.9895124435424805,0.02820148505270481,241348,-0.23226547241210938,156821,50000,39935,20883,0.7987,0.41766
room_0,phase5_2,prior_75k,03-24-prior75k-15k-2026,42.240509033203125,35.466845,177.33422633307055,11.47855418920517,0.5488951564766467,0.5833462793380022,175000,43.370548248291016,0.9872570633888245,0.05019814893603325,245209,46.53831100463867,0.9929197430610657,0.023279743269085884,224665,-0.06792449951171875,151285,75000,62449,35235,0.8326533333333334,0.4698
office_0,phase5_2,prior_75k,03-24-prior75k-15k-2026,34.12498092651367,35.555304,177.77652134979144,13.22479784488678,0.5850061168894172,0.5509411515668035,175000,35.936744689941406,0.9663033485412598,0.09477505832910538,281624,44.44194412231445,0.9893115162849426,0.027446964755654335,254497,0.24140167236328125,156821,75000,57266,28438,0.7635466666666667,0.3791733333333333
room_0,phase5_2,prior_100k_geo,03-24-prior100k-geo-15k-2026,42.240509033203125,37.753733,188.76866741105914,11.345726922154427,0.5564029328525066,0.5851037167012691,200000,42.96870040893555,0.9870798587799072,0.051420122385025024,269561,46.61273193359375,0.9929340481758118,0.022303054109215736,253241,0.006496429443359375,151285,100000,79147,54553,0.79147,0.54553
office_0,phase5_2,prior_100k_geo,03-24-prior100k-geo-15k-2026,34.12498092651367,35.855803,179.27901591500267,12.92741072177887,0.5956392241641879,0.5489244842901826,200000,34.2894172668457,0.9646642208099365,0.09744472056627274,275290,42.949459075927734,0.9859192371368408,0.035567086189985275,258484,-1.2510833740234375,156821,100000,56105,33612,0.56105,0.33612
room_0,phase5_2,prior_50k_geo,03-24-prior50k-geo-15k-2026,42.240509033203125,35.332056,176.66028163116425,11.291025266051292,0.554127499461174,0.5863570319488645,150000,43.68455123901367,0.9876486659049988,0.050383105874061584,238309,46.06547927856445,0.9927543997764587,0.02292945235967636,233103,-0.5407562255859375,151285,50000,41804,30873,0.83608,0.61746
office_0,phase5_2,prior_50k_geo,03-24-prior50k-geo-15k-2026,34.12498092651367,34.487914,172.43957120832056,12.953504353761673,0.5939479935914278,0.5508078234270215,150000,35.797698974609375,0.9707968831062317,0.08195056021213531,257264,43.781734466552734,0.9872303009033203,0.031406987458467484,249270,-0.4188079833984375,156821,50000,33784,24366,0.67568,0.48732
